home, away, result, us, B365, BW, IW, LB, PS, WH, VC
Arsenal, Leicester,H, 0.423274143027, 0.518754988029, 0.525291828794, 0.521251002406, 0.526742301459, 0.529775715391, 0.511508951407, 0.518754988029
Chelsea, Burnley,A, 0.229989524747, -0.0856406163669, -0.0325716726899, -0.0657470855483, -0.0982576985413, -0.0835517725533, -0.0834277574541, -0.0923561230824
Everton, Stoke,H, 0.229109477745, 0.425470494744, 0.476687586569, 0.415022145221, 0.400791731116, 0.428793906459, 0.430590934135, 0.418754988029
Southampton, Swansea,D, 0.18627455485, 0.219199867682, 0.303826739551, 0.2754872615, 0.197251908108, 0.226782171337, 0.216687190819, 0.284225840047
Watford, Liverpool,D, 0.171535700387, 0.0669156037221, 0.15063525019, 0.140352126365, 0.0389405624612, 0.102425396037, 0.0610095351415, 0.112552020304
West Brom, Bournemouth,H, 0.572193913894, 0.433582270389, 0.139140997316, 0.123209269222, 0.0271758565788, 0.465859063819, 0.0493816281648, 0.0935150662168
Man United, West Ham,H, 0.963576768855, 1.06350353023, 0.757813663233, 0.690723946326, 0.639545727981, 1.07336186337, 0.685219778454, 0.721930366763
Newcastle, Tottenham,A, 0.719861628488, 1.5545749588, 1.2475524692, 1.16363035027, 1.1171006468, 1.55708699899, 1.16368867798, 1.21300179533
Bournemouth, Watford,A, 0.575692888484, 1.34624162547, 1.03062125227, 0.932051402898, 0.917100646797, 1.33395496215, 0.944437341077, 1.004668462
Burnley, West Brom,A, 0.233374165171, 1.28168896409, 0.967037437243, 0.839565853765, 0.864469067849, 1.27427027746, 0.873008769648, 0.944849048909
Liverpool, Crystal Palace,H, 0.178271026355, 1.87138480518, 1.54433057387, 1.38564093909, 1.42944081926, 1.85728914539, 1.47988671975, 1.52140254026
Southampton, West Ham,H, 0.103504852978, 2.35749591629, 2.02052105006, 1.85854734303, 1.90349271547, 2.34647833458, 1.93907039322, 2.00841552727
Stoke, Arsenal,H, 0.482841369789, 2.09641217245, 1.74933460938, 1.55805473219, 1.65349271547, 2.09845461916, 1.66356018914, 1.73764328876
Swansea, Man United,A, 0.378913446314, 2.73005272544, 2.35154815105, 2.10549998767, 2.29752081851, 2.74173260524, 2.2940772131, 2.39230777321
Tottenham, Chelsea,A, 0.160710724792, 2.55544955084, 2.16235896186, 1.94994443211, 2.12625010028, 2.55561273142, 2.12741054643, 2.23029660003
Man City, Everton,D, 0.585117382594, 2.30662051103, 1.90967418612, 1.76564409081, 1.79824097307, 2.2636300662, 1.86648425811, 2.00371049731
Bournemouth, Man City,A, 0.933499114642, 2.9077134072, 2.49400773002, 2.31779133008, 2.40247058032, 2.8740410251, 2.45356840683, 2.60480339348
Crystal Palace, Swansea,A, 0.754453095164, 2.66435962397, 2.25442439669, 2.08621238271, 2.16310887819, 2.62785587759, 2.21420670471, 2.35607242902
Man United, Leicester,H, 1.14778334083, 3.28129736935, 2.86039083547, 2.68895210874, 2.76323522058, 3.24928444902, 2.80129085343, 2.96195817627
Newcastle, West Ham,H, 1.57469202933, 3.65492374297, 3.24241330738, 2.67180925159, 2.7401138333, 3.23938345892, 3.16910694539, 3.3355845499
Chelsea, Everton,H, 2.0003122997, 4.24315903709, 3.81302671679, 3.21234979214, 3.31089008901, 3.82335028684, 3.75561720932, 3.90906125241
Liverpool, Arsenal,H, 1.97528200582, 4.22176866276, 4.19291498495, 3.60123868102, 3.26594626878, 3.79551302774, 4.13979800028, 3.86558299154
Tottenham, Burnley,D, 1.86218041586, 3.84814228913, 3.89617907991, 3.36962316278, 2.8481442706, 3.44774702129, 3.76005116484, 3.46108860952
West Brom, Stoke,D, 1.85242764963, 3.80369784469, 3.87332193705, 3.74676601993, 2.81346218967, 3.40028565264, 3.73679535088, 3.42756905645
